Q1,歩行者用道路は、自動車は通行できないが、軽車両や原動機付自転車は通行できる。,×
Q53,自動車は急に止まれないので、前車との距離や速度を考えて運転しなければならない。,○
Q54,車に働く制動距離や遠心力は、速度が2倍になればほぼ4倍になる。,○
Q55,ガソリンスタンドから出るとき、誘導員の合図があったので、徐行して歩道を横切った。,×
Q56,路線バス等優先通行帯を通行中、後方から通園バスが接近してきたので他の車線に進路を変えた。,○
Q57,信号機の青色は「進め」であるから、前方の交通に関係なく直ちに発進する。,×
Q58,速度が一定であれば、路面の状態に関係なく停止距離は常に同じである。,×
Q59,交通が混雑している交差点にさしかかったとき、反対方向からきた車が右折しようとしてきたが、直進優先だからそのまま進行して交差点内で停止した。,×
Q60,自動車の乗車定員は、検査証に記載されている乗車定員に運転者を加えたものをいう。,×
Q61,車を運転する場合、ハンドルを持ったとき、ひじは少しでもまがっていてはならない。,×
Q62,日常点検のときは、方向指示器が不良であっても、手による合図ができるのでそのまま運転してよい。,×
Q63,対面する信号機の灯火が「黄色の点滅」のときは、他の交通に注意しながら進行してよい。,○
Q64,オートマチック車が駐車するときは、道路の状態や時間に関係なくチェンジレバーを「P」に入れる。,○
Q65,明るさが急に変わると、視力が急激に低下するので、トンネルに入る前に速度を落とした。,○
Q66,右折しようとするときは、交差点の直前で道路の中央に寄らなければならない。,×
Q67,非常信号用具の赤色灯や発炎筒は、普通自動車だけに備えればよい。,×
Q68,右カーブを走行するとき、車は右側に飛び出そうとする力が働く。,×
Q69,自動二輪車を運転し、トンネルから出ようとするときは、出口付近は強い横風が吹いている場合があるので、前もって前かがみになって運転する。,×
Q70,車の内輪差とは、自動車が右左折するとき、後輪が前輪より外側を通ることをいう。,×
Q71,歩道や路側帯のない道路を通行するときは、路肩(路端から0.5メートル以内)にはみ出してはならない。,○
Q72,走行中パンクしたときは、急ブレーキはさけ、ハンドルをしっかりにぎりブレーキは断続的に踏む。,○
Q73,夜間対向車と行き違うときは、前照灯を減光するか下向きにする。,○
Q74,乾燥した路面でタイヤが新しいとき、時速40キロメートルでは約20メートル、時速80キロメートルでは約80メートルの車間距離が必要である。,○
Q75,自転車横断帯の手前にきたとき、進路の前方の自転車が立ち止まり、自動車の方を見て分かっている状態だったので、徐行して通過した。,×
Q76,本線車道に入ろうとする緊急自動車よりも、本線車道を通行している一般の自動車が優先する。,×
Q77,走行中、大地震が発生したので、急ハンドル、急ブレーキをさけ、左側に停止し、すぐ車から離れた。,×
Q78,運転免許は、第一種運転免許、第ニ種運転免許、仮運転免許の三つに区分されている。,○
Q79,車両通行帯のない道路では原則として、普通自動車は中央寄りの部分を通行しなければならない。,×
Q80,夜間、照明のない道路で駐停車するときは、尾灯、駐車灯をつけるか、または停止標示器材をおかなければならない。,○
Q81,高速自動車国道における自動車の最高速度は、車種に関係なく100キロメートル毎時である。,×
Q82,初心運転者が夜間走行するときは、室内灯をつけた方がよい。,×
Q83,交差点で右折しようとしたとき、対向車の右折車のかげに自動二輪車が見えたが速度もおそく遠くに見えたので、そのまま通行した。,×
Q84,標識等で指定された路線バス専用通行帯は、路線バスが通行していないときは、その通行帯を通ってもよい。,×
Q85,走行中オーバーヒートしたときは、直ちにエンジンを止めて冷却水を補充する。,×
Q86,交差点にはいるとき一時停止の標識があっても、直前で徐行し、安全を確かめれば停止しなくてもよい。,×
Q87,左右の見通しがきかない交差点(信号機がある場合や優先道路を除く)を通行する車は徐行しなければならないが、状況に応じては一時停止して通行する。,○
Q88,路線バスが発進の合図をして動き出したが、警音器を鳴らし、前者に続いてこれを追い越した。,×
Q89,二輪車でぬかるみ等を通るときは、低速ギアにしスロットルで速度を一定にし、ブレーキをかけたり、急加速をしたりしないようにする。,○
Q90,高速道路を通行するときは、タイヤの空気圧を一般道路の場合よりもやや高めにする。,○
