1,徐行や停止をするときにも、合図をしなければならない。,○
25,一般の通行車両が一方通行の道路で緊急自動車に進路をゆずる場合は、左側に寄るとかえってさまたげになるときは道路の右側に寄らなければならない。,○
26,路面に図のような標示があるときは、その前方に交差点があることを示している。,×
27,この標識は、この先の道路が右カーブになっていることを表わしている。,○
28,自動車を運転して右折するときは、あらかじめその前からできる限り道路の中央に寄り、交差点の中心のすぐ内側（標識などによって、通行すべきところが指定されているときは、その指定されたところ）を徐行　しなければならない。,○
29,自動車を運転して追い越しを始めるときは、ハンドル操作を手ぎわよくするため、あらかじめ前車との車間距離を短くしてから始めるのがよい。,×
30,車両は、車両通行帯のある道路では、追い越しなどでやむを得ない場合のほかは二つの車両通行帯にまたがって通行してはならない。,○
31,この標識は、「横断歩道」を表わしている。,×
32,交通整理中の警察官が腕を垂直に上げているとき、警察官の身体の正面に対面する交通については、信号　機の赤色の灯火の信号と同じ意味である。,○
33,車両等は、一時停止の標識があるときは停止線の直前で、停止線がないときは交差点の直前で一時停止しなければならない。,○
34,歩行者が横断歩道以外の場所を横断しているときは、車の方が優先するので警音器を鳴らして、走行すればよい。,×
35,車両等は、横断歩道に近づいた場合、歩行者が横断しているときは一時停止しなければならないが、これから横断しようとしている場合は徐行すれば通行してもよい。,×
36,仮運転免許で路上練習をする場合は、「初心者マーク」を車の前後につけなければならない。,×
37,自動車または一般原動機付自転車を運転中、横断歩道や自転車横断帯の手前で止まっている車があるときは、その側方を通過して前方に出る前に一時停止しなければならない。,○
38,交通整理の行われていない交差点で、道幅が同じである場合は、左方からの車にゆずる。,○
39,普通貨物自動車（ミニカーを除く）の一般道路での法定最高速度は50キロメートル毎時である。,×
40,正面の信号が青色のときは、車は直進し、左折し、右折することができる。,×
41,右折するときには内輪差は生じない。,×
42,歩道と車道の区別のない道路で、車が歩行者のそばを通るときは必ず徐行しなければならない。,×
43,児童、幼児の乗り降りのため停止している通学・通園バスの側方を通るとき、バスとの間に安全な間隔がとれれば徐行しないで通ってもよい。,×
44,この標識は、自動車の最高速度が、５０キロメートル毎時であることを表わしている。,○
45,車両は一方通行になっている道路では道路の中央から右の部分にはみ出して通行することができる。,○
46,バスや路面電車の停留所から10メートル以内は追い越しが禁止されている(運行時間外を除く)。,×
47,この標識のある道路では、車庫などに入るため右横断をしてはならない。,○
48,大型乗用自動車の一般道路での法定最高速度は60キロメートル毎時である。,○
49,停止距離とは、ブレーキがきき始めてから車が停止するまでの距離をいう。,×
50,横断禁止や転回禁止の標識のある道路では、後退もしてはいけない。,×
51,初心運転者期間に交通違反などをして再試験対象初心運転者となり、再試験に不合格になると免許が取り消される。,○
52,タクシーはグリーンナンバーを付けているので、修理や回送などの時でも二種免許保持者でなければ運転してはならない。,×
53,交通整理中の警察官が腕を垂直に上げているとき、警察官の身体の正面に対面する交通については、信号機の黄信号と同じ意味である。,×
54,普通貨物自動車の一般道路における法定速度は６０キロメートル毎時である。,○
55,トンネルの中では、原則として追い越しは禁止されている。,○
56,「高齢車マーク」を付けて、高齢者が運転している車両の側方に幅よせしてはならない。,○
57,この標示は前方に学童用通学路があるという意味であるので、加速して追い越しなどをしてはいけない。,×
58,路線バス専用通行帯であっても、一般原動機付自転車、小型特殊自動車、軽車両は通行することができる。,○
59,追い越し禁止の道路であっても、一般原動機付自転車を追い越すことは違反にならない。,×
60,対面する信号機が青色になった場合は、どんな場合でも直ちに発進しなければならない。,×
61,横断歩道の直前で停止している一般原動機付自転車があるときは、他の車両は徐行して通過しなければならない。,×
62,重い荷物を積んでいるときは、制動距離が長くなる。,○
63,赤点滅信号の意味は、一時停止の標識の意味と同じである。,○
64,小型特殊自動車の免許では一般原動機付自転車も運転することができる。,×
65,運転免許証または、免許情報記録個人番号カードを携帯しないで運転をすると無免許運転となる。,×
66,転回の合図を出す時期は右折の合図を出す時期と同じである。,○
67,普通免許取得後１年間は、普通自動車を運転する際に「初心者マーク」を車の前後につけなければならない。,○
68,運転席と運転席の横の座席に人を乗せるときはシートベルトを着用しなければならないが、後部座席に人を乗せるときは着用させる義務はない。,×
69,制限速度が30キロメートル毎時以下の道路だけはシートベルトを着用しないで運転してもよい。,×
70,進路変更をするときはまず後方をよく確かめてから合図を出す。,○
71,交差点を右折するときは図のように進行するのが正しい。,×
72,自動車は、交通整理の行われている交差点で、道路の左側部分に車両通行帯が３以上設けられている道路の左折車線を通行してきたときは、左折しなければならない。,○
73,「追越し禁止」の補助標識が取り付けられていない図のような標識のある場所では、道路の左側部分であっても追い越しをしてはならない。,×
74,こどもが一人歩きしているそばを通るときは、警音機を鳴らして通行する。,×
75,左図のように進路を変えてはならない。,×
76,前方の信号機が青色の左向きの矢印を表示しているときは、一般原動機付自転車は左折することはできない。,×
77,体に一定量以上のアルコールを帯びて運転してはならないが、ビールはアルコール分が少ないから、少しなら飲んで運転してもよい。,×
78,片側一車線の道路が渋滞しているときは、中央線から右側の部分を走行することができる。,×
79,仮免許で路上練習する場合は、免許歴を問わずその自動車を運転することができる免許を持っている人の同乗指導をうければよい。,×
80,中央線のない「じゃり道」では、対向車のある時を除き道路の中央を走行できる。,×
81,近くに交差点のない道路で緊急自動車に進路をゆずるときは、道路の左側に寄ればよく、必ずしも一時停止する必要はない。,○
82,交差点の中で、後方から緊急自動車が接近してきたことを知ったときは、直ちにその場に停止しなければならない。,×
83,前方の交差点を左折しようとするときは、左側を通行する車の安全を考え、道路の中央に寄ってから徐行しながら左折する。,×
84,歩道や路側帯のない道路の左端から0.5メートルの部分に、自動車を乗り入れて通行してはならない（二輪のものを除く）。,○
85,人の乗り降りのため停止している通学通園バスに追い付いたときは、後方で停止しなければならない。,×
86,対向車が中央線を越えて追い越しをしてきたので、やむを得ず「初心運転者標識」をつけている車の前方に割り込んだ。,○
87,この標識は、学校が近いことを表している。,×
88,このような標識のある場所のそばを通るときは、必ず徐行しなければないない。,×
89,こどもを前部座席に乗せることは、こどもにとって危険であり、また運転操作の支障になる場合あるので後部座席や補助装置を使用して乗せるようにする。,○
90,安全地帯のある停留所で、停止中の路面電車に追いついたときは、乗降客や横断歩行者に注意しながら徐行して通過することができる。,○
91,車の運転者は、横断歩道に歩行者がいなくても、徐行して通行しなければならない。,×
92,制動距離は、空走距離と停止距離を合わせたものである。,×
93,普通自動車で、車両総重量が同じくらいの故障した普通自動車をけん引する場合の最高速度は３０キロメートル毎時である。,○
94,右折や左折をしようとするときは、必ず徐行しなければならない。,○
95,オートマチック車は、始動直後やエアコン作動時は、エンジンの回転数が高くなり急発進する危険があるので注意する。,○
96,この標識のある道路では、沿道に車庫を持つ車であれば歩行者に注意しながら通行することができる。,×
97,交差点で対面する信号機が黄色のときは、人も車も原則として交差点の手前で「止まれ」と指示している。,○
98,道路の左端や信号機にこの標示板があるときは、前方の信号が赤であっても、自動車、一般原動機付自転車などは、まわりの交通に注意しながら左折してよい。,○
99,このような標識のついた車に対しては、危険防止のためやむを得ない場合を除き、側方へ幅よせしたり、前方へ急に割り込んではならない。,○
100,転回をするときの合図は、右折するときの合図と同じである。,○
101,このような標識がある道路では、横断も転回も禁止されている。,×
102,小型特殊自動車の免許では一般原動機付自転車も運転することができる。,×
103,このような標識のある道路では、乗車定員29人の大型乗用自動車は通行することができる。,×
104,重い荷物を積んでいる場合は、制動距離が長くなるので、前車に対して車間距離を十分とるようにする。,○
105,このような標識のあるところでは、普通自動車だけが軌道敷内を通行することができる。,×
106,普通免許では、小型特殊自動車や一般原動機付自転車を運転することができる。,○
107,仮免許を受けて、道路で運転する場合の同乗指導者は、運転経歴に関係なくその車を運転できる免許を受けていればよい。,×
108,普通免許で、２．５トン積みのトラックを運転することはできない。,○
109,普通二輪免許を受けた期間が通算して１年に達しない者は、２人乗りをしてはいけない。,○
110,自動二輪車や一般原動機付自転車のエンジンを止めて押して歩くときは、歩行者として扱われる。,○
111,交差点のない道路で、後方から緊急自動車が近づいてきたときは、左端に寄って一時停止しなければならない。,×
112,左側部分の道幅が６メートルない道路で追い越しをするときは、中央から右側にはみ出すことができる（道路の中央に黄線がひかれている場合を除く）。,○
113,同一方向に３つの車両通行帯がある道路で、特に車の通行区分が指定されていないときは、もっとも右側の通行帯をあけて通行する。,○
114,ガソリンスタンドに入るため歩道を横切るときは、徐行しなければいけない。,×
115,一般原動機付自転車の右折方法は、交通整理の行われている交差点では軽車両と同じ方法で右折しなければならない場合がある。,○
116,通園通学バスが止まっているときは、後方の車はバスが発進するまで、その横を通過してはならない。,×
117,空走距離は路面の状態と関係ないが、制動距離は路面の状態に関係がある。,○
118,図の標識がある道路は、自動車と一般原動機付自転車は時速５０キロメートルの速度で運転してよい。,×
119,共同危険行為などの違反をあおった人は、車の運転をしていなくても、免許を取り消されることがある。,○
120,横断歩道とその手前30メートル以内は、追い越しを行うことはできないが、追い抜きはしてもかまわない。,×
121,車を運転するときは、みだりに進路を変えてはならない。,○
122,トンネルは、車両通行帯がないときにかぎり、追い越しが禁止される。,○
123,前の車が一般原動機付自転車を追い越そうとしているとき、自分がその前の車を追い越し始めれば、二重追い越しとなる。,×
124,踏切とその手前３０メートル以内のところでは、追い越しをしてはいけない。,○
125,図の標識がある交差点では、一般原動機付自転車は二段階右折をしなければならない。,×
126,図のような信号機のない交差点では、Ａ車は徐行してＢ車の進行を妨げないようにする。,×
127,このような道路標示がある場所では駐車も停車も禁止されている。,×
128,車は「こう配の急な上り坂」､「上り坂の頂上付近」､「こう配の急な下り坂」では追い越しが禁止されている。,×
129,下り坂ではオートマチック車は、チェンジレバーを２かＬまたは１に入れ、エンジンブレーキを活用する,○
130,交通整理の行われていない交差点で、道路幅が同じ場合は、徐行する必要はない。,×
131,踏切を通過するときは、低速ギヤのまま一気に渡り切るのがよい。,○
132,車の運転者は、横断歩道に歩行者がいなくても、徐行して通行しなければならない。,×
133,交差点の手前に図の標識が設けられている場合は、自動車の右折はできないが一般原動機付自転車は右折できる。,×
134,交差点で正面の信号が黄色のときは、人も車も原則として、交差点の手前で「止まれ」を指示している。,○
135,車を車庫に入れるときは、バックで入れるのは危険であるので、できるだけ前進で入れるようにする。,×
136,中央線は必ず道路の中央に引かれているとは限らない。,○
137,安全地帯のそばを通るときは、歩行者がいるいないにかかわらず（いなくても）、徐行しなければならない。,×
138,直進しながら右や左に進路を変えるときは、進路変更しようとする約３秒前に合図をしなければならない。,○
139,サイドミラーよりも、ルームミラーのほうが後続車との車間距離を目測しやすい。,○
140,停止距離とは、空走距離と制動距離を合わせた距離のことである。,○
141,車は交通の流れの状況によっては、きめられた速度の範囲内で運転しなくてもよい場合がある。,×
142,初心運転者標識は、普通免許または、準中型免許を受けた者で、その免許を受けていた期間（免停期間を除く）が通算して１年に達しない者が表示するものである。,○
143,路側帯や歩道のない道路を通行するときは、路肩にはみださないようにする。,○
144,この標識は前方の道路の幅員が減少することを表す。,×
145,路線バス専用通行帯でも、小型特殊自動車、一般原動機付自転車、軽車両は通行できる。,○
146,免許証または、免許情報記録個人番号カードを携帯しないで車を運転すると、無免許運転になる。,×
147,正面の信号が黄色の点滅をしている時は、一時停止したうえ他の交通に注意しながら進行する。,×
148,制動距離は空走距離と停止距離を合わせたものである,×
149,後退するときは、合図はいらない。,×
150,車両通行帯のないトンネルでは、他の車を追い越すことはできない,○
151,この標識は、自転車横断帯を表している,×
152,信号機のある踏切で信号が青を示しているときは、一時停止しないで通過してよい,○
153,乗車定員１１人のマイクロバスは、普通免許で運転することができる。,×
154,通常の車間距離は、時速４０キロメートルでは約２２メートル以上、時速８０キロメートルでは約８０メートル以上あけるのがよい,○
155,図の道路標識は、「車両進入禁止」を表したものである,×
156,同一方向に車両通行帯が二車線ある道路では、速度の速い車が右側の通行帯を、遅い車が左側の通行帯を通行する,×
157,車を運転して交差点付近を進行中、緊急自動車が接近してきたら、交差点をさけ、道路の左側に寄って徐行する,×
158,この道路標識は「一方通行の入口」を表したものである,×
159,転回の合図を出す時期は右折の合図を出す時期と同じである,○
160,進路変更を終わったときは、その３秒後に合図をやめる,×
161,上り坂の頂上付近や、こう配の急な下り坂では、徐行しなければならないが、こう配の急な登り坂の途中では徐行義務はない,○
162,このような標識のある道路は、小型特殊自動車、または、一般原動機付自転車、軽車両の通行はできない,×
163,内輪差とは、車がまがるときに、後輪が前輪の描く線の内側を通ることをいう,○
164,自動車が一方通行の道路から右折するときは、あらかじめ道路の中央に寄り、,×
165,ブレーキは制動灯と連動しており、これを断続的にかけると後続車の迷惑となるので、さけたほうがよい,×
166,徐行や停止をするときは、合図のしようがないので合図をしなくてもよい,×
167,信号機により交通整理が行われている見通しのきかない交差点を直進する場合、青信号に従って通過する場合は徐行する義務はない,○
168,徐行とは車が直ちに停止できるような速度で進行することをいい、通常その速度は約10キロメートル毎時以下とされている,○
169,右折や左折をしようとするときは、必ず徐行しなければならない,○
170,図の道路標示は、転回禁止が終わりであることを示したものである,×
171,停留所で止まっている路線バスに追いついたときには、バスが発進するまで後方で停止して待っていなければならない,×
172,このような標識のあるところでは、必ず停止線の直前で一時停止して安全を確かめなければならない,○
173,信号機のある交差点で、停止線のないときの停止位置は、交差点の直前である,○
174,仮免許では路上練習や路上検定（技能検定）を受ける場合のほかは路上で運転してはならない,○
175,運転者の携帯電話は、運転する前に電源を切って呼び出し音が鳴らなくしておくのがよい,○
176,横断歩道や自転車横断帯とその手前30メートル以内の場所では、自動車や一般原動機付き自転車の追い越しは禁止されているが、追い抜きは禁止されていない,×
177,運転免許は、第一種運転免許、第二種運転免許、一般原動機付自転車免許の三つに区分される,×
178,追い越しが禁止されている場所では、一般原動機付自転車を追い越すことも禁止されている,○
179,交差点の中まで中央線が引かれている道路は、優先道路である,○
180,図の道路標示は、前方に「Ｔ形道路交差点」があることを示している,×
181,安全地帯のない停留所で止まっている路面電車があるときは、乗り降りをする人や道路を横断する人がいなくなるまで後方で停止して待たなければならない,○
182,けん引するための構造と装置のある大型車で、けん引されるための構造と装置のある車をけん引するときの最高速度は、４０キロメートル毎時である,×
183,普通免許を受けたものは、普通自動車、小型特殊自動車、一般原動機付自転車を運転することができる,○
184,仮運転免許は交通違反をしたり、交通事故を起こしても取り消しの対象になることはない,×
185,規制標識は特定の交通方法を禁止したり、特定の方法に従って通行するように指定したりするものである,○
186,オートマチック車のＰレンジは駐車時に使用するもので、走行中に使用すると非常に危険である,○
187,自動車を運転するとき、免許証または、免許情報記録個人番号カードを携帯しなければならないが、自動車損害賠償責任保険証明書は重要な書類であるから車とは別に保管しておくのがよい,×
188,交差点で正面の信号が赤の点滅をしているときは、一時停止するか、または徐行して交差点に入らなければならない,×
189,一般道路での普通乗用自動車の最高速度は６０キロメートル毎時であるが、普通貨物自動車の最高速度は５０キロメートル毎時である,×
190,白や黄色のつえを持って歩いている、目や耳の不自由な人のそばを通るときは、警音器を鳴らして注意をあたえて通過するのがよい,×
191,高齢運転者標識をつけて走行している車に対しは、危険を避けるためやむを得ない場合を除き、幅よせや割り込みをしてはならない,○
192,交通整理の行われていない道幅が同じ道路の交差点を通行するときは、左方からくる車の進行を妨げてはならない,○
193,一方通行の道路では、道路の中央より右側も通行することができる,○
194,見通しのよい道路のまがり角付近は、徐行しなくてよい,×
195,前車を追い越すときでも、定められた最高速度を超えることは出来ない,○
196,こう配の急な下り坂では自動車を追い越すことはできないが、一般原動機付自転車は追い越すことができる,×
