1,日常点検をするときは、灯火類を点灯させたり、方向指示器を点滅させて点検する。,○
67,この標識は、「自転車横断帯」を示している。,×
68,赤色の信号と同時に青色の矢印信号が出たときは、二段階右折の方法で右折する一般原動機付自転車は、矢印信号に従って右折することができる。,×
69,燃料計は、Ｆが満タン、Ｅは燃料切れ（ガス欠）寸前を示す。,○
70,交通整理の行われていない交差点では、道幅が同じであれば先に交差点に入った車が優先する。,×
71,夜間、高速道路で故障などのためやむを得ず駐停車するときは、停止表示機材を置けば、非常点滅表示灯や駐車灯、尾燈はつけなくてもよい。,×
72,トラックに荷物を積み、荷物の見張りのために荷台に一人乗せるときは、警察署長の許可はいらない。,○
73,この標識のある交差点では、大型貨物自動車と中型貨物自動車、大型特殊自動車以外の車は直進することができない。,×
74,乗車定員は、１２才未満の子供３人を大人２人として計算する。,○
75,自動二輪車や一般原動機付自転車に荷物を積む場合、荷台の後方に３０センチメートルまではみ出して積んでもよい。,○
76,安全地帯の左側と、その前後１０メートル以内の場所では追越しが禁止されている。,×
77,仮免許運転違反（資格者の同乗指導を受けないで運転）をすると、仮免許が取り消しになる。,○
78,クラッチペダルの遊びが多いと、クラッチの切れが悪く、ギヤが入りにくくなる。,○
79,冷却水が不足してエンジンがオーバーヒートしたときは、ただちにエンジンを止めて水を補給しなければならない。,×
80,ハンドブレーキを完全にもどさないで走行していると、フットブレーキがきかなくなることがある。,○
81,フェード現象とは、ブレーキ液の中に気泡が生じ、ブレーキペダルを踏んでも油圧が伝えられないため、ブレーキがきかなくなることである。,×
82,同じ距離であっても、小型車は近く、大型車は遠く感じる。,×
83,パワーステアリングの車は、走行中、エンストするとハンドルが重くなるので注意が必要である。,○
84,じゃり道は、舗装道路にくらべて摩擦力が大きい。,×
85,止まっているものに衝突するとき、もし速度を半分に下げることができたとすると、衝突時に受ける力はおおむね４分の１ですむ。,○
86,"車両総重量１２トン（12,000キログラム）の車は、大型免許を受けていないと運転できない。",○
87,普通免許を受けていれば、１.８トン積みのトラックを運転することができる。,○
88,二輪免許では、自動二輪車と一般原動機付自転車を運転することができるが、小型特殊自動車を運転することはできない。,×
89,小型特殊免許では、小型特殊自動車と一般原動機付自転車が運転できる。,×
90,普通二輪車は、普通二輪免許を受けていても、免許を受けていた期間が１年未満の者は、二人乗りをしてはいけない。,○
91,車両通行帯のない道路では、軽車両は左側端を、一般原動機付自転車は左寄りを、自動車は道路の中央寄りを通行しなければならない。,×
92,二輪車を運転する場合、前輪ブレーキは後輪ブレーキにくらべてききが悪いので、普通は後輪ブレーキをおもに使い、前輪ブレーキは緊急時のみ使う。,×
93,この標識のある道路では、軽車両は通行できる。,×
94,高速道路で大型・普通自動二輪車の二人乗りができるのは、自動二輪車の運転経験３年以上で年齢が２０才以上でなければならない。,○
95,一般原動機付自転車も幼児用補助乗車装置をつければ６才未満の幼児１名に限り乗車させることができる。,×
96,普通免許や二輪免許、原付免許を取得して１年以内に交通違反などを犯し、違反点数が規定の基準に達したため再試験の通知を受けた者は、再試験を受けなかったり、再試験に合格しなかった場合は、その免許は取り消しになる。,○
97,高速自動車国道における普通自動車（三輪を除く）の最高速度は１００キロメートル毎時である。,○
98,普通自動車で、車両総重量が同じくらいの故障した普通自動車をけん引する場合の最高速度は４０キロメートル毎時である。,×
99,同一方向に進行しながら進路を変えようとするときは、進路を変えようとする約３０メートル手前で合図しなければならない。,×
100,大型免許では大型自動二輪車は運転できない。,○
101,この道路標識があるところでは、普通自動車のみ軌道敷内を通行することができる。,×
102,右折、左折または転回の合図をする時期は、いずれも同じである。,○
103,高速自動車国道の本線車道における普通自動車（三輪を除く）の最高速度は、すべて１００キロメートル毎時である。,○
104,大型貨物自動車、中型貨物自動車、準中型貨物自動車、普通貨物自動車の積み荷の大きさは、長さが自動車の１.１倍、幅が自動車の幅、高さが地上から３.８メートルをそれぞれこえてはならない。,×
105,速度が同じであれば、荷物の重量が軽い場合より、重い場合のほうが制動距離が短くなる。,×
106,トンネルの中では、車両通行帯があっても追越しが禁止されている。,×
107,安全地帯のそばを通る場合、歩行者がいるときは徐行しなければならないが、いないときは徐行しなくてもよい。,○
108,乗車定員５人の普通乗用車には、運転者の他に大人２人と１１才の子供が３人乗っても定員超過にはならない。,○
109,安全地帯のない停留所で止まっている路面電車に乗り降りする人がいても路面電車との間に1.5メートル以上の間隔を保つことができるときは、徐行してその側方を通過することができる。,×
110,交差する道路が優先道路であるときやその幅が広いときは、必ず徐行しなければならないが、状況によっては一時停止をして交差道路を通行する車の進行を妨げてはならない。,○
111,徐行しようとするときの合図の時期は、徐行しようとするときである。,○
112,この道路標識があるときは、車や荷物、人の重さの合計が５.５トンをこえる車は通行できない。,○
113,冷却水の点検は、エンジンをかけてからリザーバ・タンクで調べたり、ラジエター・キャップをはずして行う。,×
114,前車が一般原動機付自転車を追い越そうとしているときに、その車を追い越すと二重追越しになる。,×
115,図の交差点において、Ａ車はアの地点を通行するときは、徐行しなければならない。,×
116,踏切や踏切の手前１０メートル以内のところは駐車してはいけないが、すぐ向こう側であれば駐車してもよい。,×
117,高速自動車国道で自動二輪車の二人乗りができるのは、自動二輪車の運転経験３年以上、年齢が２０歳以上でなければならないが、自動二輪車の運転経験が１年以上あれば自動車専用道路でのみ二人乗りをすることができる。,×
118,車が他の車を追い越すとき、前車の左側に十分な間隔があれば、左側から追い越してもよい。,×
119,出発地警察署長の許可があれば、荷台や座席以外の場所に荷物を積んだり、荷台に人を乗せて運転することができる。,○
120,自動車の運転は、認知、判断、操作に分けられ、このうちとくに大切なのは操作で、交通事故の大半は操作の誤りによって起きている。,×
121,高速道路では、登坂車線も本線車道に含まれる。,×
122,徐行しようとするときと、停止しようとするときの手の合図の方法は同じである。,○
123,普通免許や二輪免許、原付免許を取得して１年以内に交通違反などを犯し、違反点数の合計が３点以上になったとき（１回の違反で３点に達したときを除く）は初心運転者講習を受けることができる。,○
124,ブレーキのききが悪かったので、交通量の少ない道路を選んで運転した。,×
125,乗車定員１０人の車は、中型免許以上がないと運転できない。,×
126,二輪車でブレーキをかけるときは、前輪ブレーキと後輪ブレーキを同時にかけるのがよい。,○
127,一般道路で法定最高速度が６０キロメートル毎時の車はすべて、高速自動車国道の本線車道を１００キロメートル毎時で走行できる。,×
128,近くに交差点のない道路で緊急自動車に進路をゆずるときは、道路の左側に寄って進路をゆずればよい（一方通行路を除く）。,○
129,正面の信号が「赤色の灯火」と「黄色の灯火の矢印」を示しているとき、自動車は黄色の矢印の方向に進んでもよい。,×
130,高速道路で故障などのためやむを得ず駐車する場合は、車の後方の路上に停止表示機材を置き、後続車の運転者にわかるようにしなければならないが、歩行が困難な場合は停止表示灯を車の側方の路上に置いてもよい。,○
131,一般道路での大型貨物自動車の最高速度は、５０キロメートル毎時である。,×
132,この３つの補助標識は、同じ意味を表わしている。,×
133,舗装道路では、雨の降り始めのほうが、降っている最中より、スリップしやすい。,○
134,交差点で対面する信号が青色の場合は、車はすべて直進し、左折し、右折することができる。,×
135,遠心力は、およそ速度の２乗に比例して大きくなり、カーブの半径が小さいほど大きくなる。,○
136,この標示の路側帯は、歩行者の通行を妨げなければ、自転車も通行することができる。,×
137,高速自動車国道の本線車道が、道路の構造上往復の方向別に分離されていない区間では、普通自動車の最高速度は、６０キロメートル毎時である。,○
138,大型特殊免許で運転できるのは、大型自動車、中型自動車、大型特殊自動車、小型特殊自動車、一般原動機付自転車である。,×
139,普通免許を受けていれば、１．５トン積みのトラックを運転することができる。,○
140,自動二輪車は、自動二輪免許を受けていても、免許を受けていた期間が１年未満の者は、二人乗りをしてはいけない。,○
141,同一方向に二つの車両通行帯がある道路では、速度の遅い車は左側の通行帯を、速度の速い車は右側の通行帯を通行する。,×
142,この標識のある通行帯を午後８時に普通自動車で通行した。,○
143,路線バス等優先通行帯を普通自動車で通行中、通園バスが後方に接近してきたが、路線バスではないので、そのまま通行した。,×
144,道路に面した場所に出入りするため歩道や路側帯を横切るときは、徐行して歩行者の通行を妨げないようにしなければならない。,×
145,制動距離は、空走距離と停止距離を合わせたものである。,×
146,こう配の急な上り坂は、徐行すべき場所にはなっていない。,○
147,タイヤと路面の摩擦は、空走距離と制動距離に大きな関係がある。,×
148,オートマチック車は、チェンジレバーがＰ（パーキング）やＮ（ニュートラル）以外の位置ではエンジンがかからない。,○
149,自動二輪車や一般原動機付自転車の荷台には、どちらも６０キログラムまで荷物を積むことができる。,×
150,サイドミラーよりルームミラーのほうが後続車との距離を正しく目測することができる。,○
151,貨物自動車で高速走行するときは、車の積み荷の重心が高い方が安定した走行ができる,×
152,二輪車でカーブをまがる時は、遠心力に対抗するため車体を外側に傾けてまがるようにする,×
153,トラックの荷台に荷物の見張りのため人を１人だけ乗せる場合は警察署長の許可を受けずに乗せることができる,○
154,交通事故が起きた場合は、続発事故を防ぐため、他の交通の妨げにならないような安全な場所に車を移動させ、エンジンを切っておくようにする,○
155,４００ccの自動二輪車に荷物を積む場合の高さ制限は地上２メートル以下とされている,○
156,故障車をロープでけん引する場合は、ロープの長さは５メートル以内で、ロープの中央に０．３メートル平方以上の赤布をつけなければならない,×
157,運転者は同乗者が不用意にドアを開けたりしないように注意する義務がある,○
158,乗車定員１０人の自動車は普通免許で運転することができる,○
159,検査標章の色と数字は検査を受けた年月を表す,×
160,図の路側帯の設けられている道路で駐車する場合、左側に０．７５メートル以上の余地を空けることができれば、路側帯の中へ入って駐車することができる,○
161,オートマチック車がＤレンジで走行中、何らかの原因でエンジンが止まってしまった場合は一旦Ｎレンジへ戻さないとエンジンスイッチが作動しない,○
162,６６０cc以下の普通自動車の高速自動車国道での最高速度は８０キロメートル毎時である,×
163,カーブを走行する時、速度が２倍になると遠心力は４倍になる,○
164,高速道路で故障して停止する場合、夜間は停止表示機材を置かなければならないが、昼間は非常点滅表示灯をつければ停止表示機材は置かなくてもよい,×
165,乗車定員５人の乗用車には、運転者の他に１２歳の子供６人を乗せることができる,×
166,普通免許を取得して１年未満の者が普通自動車を運転する場合は、車の前後に「初心者マーク」（初心運転者標識）を付けなければならない,○
167,交通事故が発生した場合、人身事故となった場合は必ず警察官への届出が必要であるが、物損事故の場合は届出の必要はない,×
168,タイヤの空気圧が低い状態で高速走行を続けると、スタンディングウエーブ現象が起きる危険性がある,○
169,高速自動車国道や自動車専用道路での自動二輪車の二人乗りは自動二輪車の運転経験が１年以上あれば行うことができる,×
170,交通事故の責任は事故を起こした運転者のみにあるので、車を貸した者には責任がない,×
171,駐車禁止の標識は「規制標識」であり、停止線や中央線は「指示標示」である,○
172,荷物が軽い時に比べて重い時の方がタイヤの接地抵抗が増すので荷物が重い時の方が制動距離は短くなる,×
173,ハンドルやブレーキが故障している車は、徐行してでも運転してはならない,○
174,道路を自動車の保管場所として使用してはならない,○
175,車から離れる時は、ほんの少しの間でもエンジンを止めてキーを抜き、ドアロックをして盗難防止の措置をしなければならない,○
176,エンジンのかかっていない一般原動機付自転車や、自動二輪車を押して歩くときは歩行者として扱われる,○
177,オートマチック車のエンジンブレーキは効果がないので、下り坂などでは、ブレーキペダルとハンドブレーキで減速するのがよい,×
178,７０歳以上の運転者が普通自動車を運転するときは車の前後に「高齢運転者標識」をつけるのが望ましい,○
179,高齢運転者標識や身体障害者標識、初心運転者標識をつけて走行している自動車に対して、危険を避けるためやむを得ない場合の他は、側方に幅よせしたり、前方に割り込んだりしてはならない,○
180,一方通行の道路に駐車するときは、道路の側端に沿って止めれば、左右どちら側に駐車してもよい,×
181,図の標識のある道路では、道路の右側にはみ出さなければ追い越しをすることができる,○
182,交通が渋滞しているときは、横断歩道や自転車横断帯の中に入って停止してもやむを得ない,×
183,車の下から冷却水やオイルが漏れているときは故障が考えられるので運転してはならないが、空調装置からの排水は異常ではない,○
184,高速道路の登坂車線は重い荷物を積んだ貨物自動車が走行するためのものなので、普通乗用自動車で登坂車線を通行することはできない,×
185,オートマチック車のクリープ現象とは、チェンジレバーがＤレンジに入っている状態でアクセルを踏まなくても動き出す現象をいう,○
186,前照燈が故障して点灯しなかったが、昼間だけ運転するのであれば、そのまま運転してかまわない,×
187,時速６０キロメートル毎時の速度で衝突したときは、ビルの５階（約１４メートル）から落ちた場合と同程度の衝撃力を受けることになる,○
188,故障車をロープでけん引する場合はけん引免許を持っていなくても運転することができる,○
189,タイヤの空気圧は徐々に減少することがあるので、日常点検等で確認することが大切である,○
190,図の標識がある交差点を一般原動機付自転車で右折する場合は自動車と同じ方法で右折する,○
191,駐車禁止の場所であっても、運転者が運転席に乗車した状態であれば５分以内に限り友人を待つため停車することができる,×
192,往復の方向別に分離されている高速自動車国道での最低速度は５０キロメートル毎時である,○
193,総排気量１２５ccの自動二輪車は高速自動車国道だけでなく、自動車専用道路も通行することができない,○
194,こう配の急な坂道では駐車してはならない,○
195,図の二種類の標識は、普通自動車の運転者に対しては同じ意味となる,○
196,運転することが明らかな人に飲酒させた場合は、酒をすすめた人も処罰を受けることがある,○
197,消火栓から５メートル以内の場所では駐停車が禁止されている,×
198,ＡＢＳ（アンチロック・ブレーキシステム）のついている車で急ブレーキをかけた場合にブレーキペダルが小刻みに振動するのは異常ではない,○
199,パンクしたタイヤを交換する時は、車輪をジャッキアップする前に車輪を締め付けているナットを少しゆるめておく,○
200,交差点を走行中、緊急自動車が接近してきたので、直ちに交差点内で停止した,×
